,year,wtemp,o2,o2sat,deck,light,frlight
1,1981,12.73010582,7.930476191,80.05265873,702.2142857,77.62777778,0.589357143
2,1982,9.666770833,7.121339286,66.35917411,1121.925926,169.4580401,0.117472167
3,1983,10.565625,7.59296875,72.59557292,801.0902778,143.219995,0.162844742
4,1984,10.17739583,7.670625,72.29833333,656.7541667,122.0179167,0.149969444
5,1985,10.29854167,7.528541667,71.11864583,748.7239583,100.9629479,0.117635417
6,1986,10.99833333,7.334761905,71.72494048,892.9505952,109.9202917,0.100214881
7,1987,11.02786458,7.461458333,72.49869792,640.5379464,90.83847842,0.12013058
8,1988,10.61705357,7.679791667,73.60645833,883.9053571,136.1798214,0.137792857
9,1989,10.06765625,7.991510417,75.43614583,744.7308761,110.6076605,0.135633925
10,1990,11.0196875,7.71046875,74.44625,848.7973697,108.5584961,0.12294212
11,1991,10.50206739,8.145822704,77.58263712,923.8737943,149.7889818,0.118130501
12,1992,10.1360119,7.472544643,71.1765625,823.2502238,107.9483975,0.112293228
13,1993,10.22104167,7.751458333,73.55739583,818.6602564,98.53450611,0.101663782
14,1994,11.44833333,7.912291667,76.84864583,960.0461355,135.5792705,0.133048655
15,1995,10.87758929,8.101019345,76.92980655,834.6521185,135.0830979,0.113603655
16,1996,10.01177083,6.90125,66.11458333,737.3895,176.2318473,0.15683608
17,1997,10.71648065,7.91703869,76.19136905,556.9168422,75.65487855,0.135831494
18,1998,12.20677083,7.587797619,75.68348214,850.6457792,132.9988445,0.140246651
19,1999,10.9975,8.443571429,80.503125,903.4031007,100.2236478,0.10502794
20,2000,11.25684524,8.289471726,80.00111607,786.5710505,98.24321918,0.104554786
21,2001,11.28664435,7.996056548,77.70200893,907.8265813,96.83447853,0.088907419
22,2002,9.784002976,8.757886905,80.43340774,831.5640872,73.27420855,0.083305819
23,2003,10.81298257,8.030656888,76.76640944,916.8386371,89.80297253,0.090058494
24,2004,10.75294643,8.347916667,79.55068452,814.6146825,85.72942461,0.101198413
25,2005,12.05669643,7.763467262,76.54754464,819.9750336,94.90782416,0.106989059
26,2006,11.28802083,8.35625,80.78333333,1109.542784,123.8878085,0.124575603
27,2007,12.51511905,8.045416667,79.84708333,739.8370021,85.94507899,0.119558535
28,2008,12.35869048,7.755863095,76.91904762,843.7761371,114.117987,0.130836996
29,2009,10.55964711,8.632810374,82.12867347,872.3829251,138.5952525,0.151207937
30,2010,11.57574405,8.529241071,82.9734375,805.1001406,126.4222185,0.140040641
31,2011,11.30938542,7.61765625,73.9515625,646.8626929,56.94598873,0.076580241
32,2012,11.39780506,8.307552083,79.16398809,697.2980061,96.11525923,0.117995791
33,2013,11.05625,7.561458333,72.59270833,807.3119144,73.09388729,0.090455136
34,2014,10.5641369,7.384077381,71.03467262,1009.217369,110.6204408,0.083846605
35,2015,11.6828125,7.169791667,70.778125,1030.029174,109.3216686,0.096891623
36,2016,11.27090774,7.675952381,74.29372024,742.4128491,79.45821285,0.094403729
37,2017,10.8578125,7.508854167,71.68125,958.7340413,100.458148,0.096502457
38,2018,10.52883185,6.977715774,67.6750744,902.9451673,93.98949569,0.091547949
