,X.1,X,system,Cause,Effect,rho_Lmax,p_Z,Kendall_tau,Kendall_p,Convergence,Standardized_linkage_strength,direction,biomasss,trait.effect.abundance.total,abundance.effect.trait.total,Warming_rate,temp_mean,species_richness,type,species_richness_ln,biomasss_ln,abundances_ln,temp_mean_ln,Effect2,Taxa
1,1,1,WS1,A..senarius.1,A..senarius,0.795193848,0.195324404,1,0.002666712,FALSE,0.832014241,trait affects abundance,1.26E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.899388047,6.218659256,1.004327957,A..senarius,diatom
2,2,2,WS1,Amoeba.sp.1,Amoeba.sp,0.666762188,0.131158976,0.99999994,0.008534908,FALSE,0.697635724,trait affects abundance,6.89E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.162037512,4.767105855,1.004327957,Amoeba.indet,Dinoflagellate
3,3,3,WS1,B..brockmannii.1,B..brockmannii,0.806530711,0.197498045,1,0.002666712,FALSE,0.843876042,trait affects abundance,5.51E-11,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-10.25897395,8.002105688,1.004327957,B..brockmannii,diatom
4,4,4,WS1,Bacillariophyceae.sp.1,Bacillariophyceae.sp,0.497746211,0.310431399,1,0.002666712,FALSE,0.520793687,trait affects abundance,1.20E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.921618772,7.149072338,1.004327957,Bacillariophyceae.indet,diatom
5,5,5,WS1,C..closterium.1,C..closterium,0.875490542,0.152535693,0.714285731,0.035498142,FALSE,0.916028967,trait affects abundance,4.24E-11,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-10.37283879,6.876833238,1.004327957,C..closterium,diatom
6,6,6,WS1,C..danicus.1,C..danicus,0.802311176,0.158569188,0.90476191,0.006863832,FALSE,0.839461128,trait affects abundance,1.42E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.847730424,4.957766883,1.004327957,C..danicus,diatom
7,7,7,WS1,C..debilis.1,C..debilis,0.946546209,0.059159064,1,0.002666712,FALSE,0.990374772,trait affects abundance,1.21E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.915749828,6.435228585,1.004327957,C..debilis,diatom
8,8,8,WS1,C..densus.1,C..densus,0.647035892,0.029783504,0.99999994,0.008534908,TRUE,0.676996028,trait affects abundance,8.59E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.066167477,5.303306325,1.004327957,C..densus,diatom
9,9,9,WS1,Chaetoceros.sp..1,Chaetoceros.sp.,0.627003076,0.239428172,0.99999994,0.008534908,FALSE,0.656035619,trait affects abundance,9.17E-11,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-10.03773799,7.494064545,1.004327957,Chaetoceros.sp.,diatom
10,10,10,WS1,Ciliates.sp.1,Ciliates.sp,0.828617635,0.042276146,0.90476191,0.006863832,TRUE,0.866985672,trait affects abundance,7.75E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.110921995,6.603005471,1.004327957,Ciliates.indet,ciliate 
11,11,11,WS1,D..brightwellii.1,D..brightwellii,0.817734302,0.147305979,0.428571433,0.229556203,FALSE,0.855598401,trait affects abundance,1.39E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.857669106,4.975410486,1.004327957,D..brightwellii,diatom
12,12,12,WS1,D..surirella.1,D..surirella,0.871312776,0.061983803,1,0.002666712,FALSE,0.911657755,trait affects abundance,1.99E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.701395835,5.669083657,1.004327957,D..surirella,diatom
13,13,13,WS1,Dinophy.sp.1,Dinophy.sp,0.784829563,0.302221564,0.99999994,0.008534908,FALSE,0.821170052,trait affects abundance,6.01E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.221462507,6.862081079,1.004327957,Dinophy.indet,Dinoflagellate
14,14,14,WS1,Diplopsalis.gr.1,Diplopsalis.gr,0.868732294,0.026335864,1,0.002666712,TRUE,0.908957788,trait affects abundance,2.65E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.577420403,5.330833112,1.004327957,Diplopsalis.gr,Dinoflagellate
15,15,15,WS1,E..dubium.1,E..dubium,0.750153867,0.133544469,1,0.002666712,FALSE,0.784888744,trait affects abundance,1.91E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.717854675,6.411242741,1.004327957,E..dubium,Charophyta
16,16,16,WS1,E..tripartita.1,E..tripartita,0.549587807,0.207278712,1,0.002666712,FALSE,0.575035739,trait affects abundance,8.24E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.084329388,5.304389623,1.004327957,E..tripartita,Charophyta
17,17,17,WS1,G..delicatula.1,G..delicatula,0.742580768,0.070097126,0.99999994,0.008534908,FALSE,0.776964983,trait affects abundance,7.13E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.146787343,6.816697412,1.004327957,G..delicatula,diatom
18,18,18,WS1,G..striata.1,G..striata,0.938721024,0.051090284,1,0.002666712,FALSE,0.982187252,trait affects abundance,2.25E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.648655945,5.928852697,1.004327957,G..striata,diatom
19,19,19,WS1,L..danicus.1,L..danicus,0.830952398,0.057743691,0.90476191,0.006863832,FALSE,0.869428543,trait affects abundance,1.32E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.878189549,6.839412254,1.004327957,L..danicus,diatom
20,20,20,WS1,L..minimus.1,L..minimus,0.773113858,0.159288201,1,0.002666712,FALSE,0.808911867,trait affects abundance,3.92E-11,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-10.40644052,6.919917194,1.004327957,L..minimus,diatom
21,21,21,WS1,L..strobila.1,L..strobila,0.8770998,0.140431869,1,0.002666712,FALSE,0.91771274,trait affects abundance,1.04E-08,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-7.982138995,4.437021116,1.004327957,L..strobila,diatom
22,22,22,WS1,L..undulatum.1,L..undulatum,0.869676331,0.075745833,1,0.002666712,FALSE,0.909945536,trait affects abundance,2.27E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.644753523,5.107863527,1.004327957,L..undulatum,diatom
23,23,23,WS1,M..rubra.1,M..rubra,0.871054342,0.019814129,0.99999994,0.008534908,TRUE,0.911387355,trait affects abundance,1.54E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.812293772,5.041936675,1.004327957,M..rubra,ciliate
24,24,24,WS1,Navicula.sp..1,Navicula.sp.,0.808963602,0.290396332,1,0.002666712,FALSE,0.846421585,trait affects abundance,1.34E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.872228906,5.722301804,1.004327957,Navicula.sp.,diatom
25,25,25,WS1,O..aurita.1,O..aurita,0.338721521,0.162624876,0.90476191,0.006863832,FALSE,0.35440557,trait affects abundance,7.32E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.135388565,6.920221532,1.004327957,O..aurita,diatom
26,26,26,WS1,O..aurita.var..minima.1,O..aurita.var..minima,0.607564485,0.039999552,0.99999994,0.008534908,TRUE,0.635696951,trait affects abundance,2.14E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.66933,6.369098816,1.004327957,O..aurita.var..minima,diatom
27,27,27,WS1,O..mobiliensis.1,O..mobiliensis,0.877026303,0.026918184,0.99999994,0.008534908,TRUE,0.91763584,trait affects abundance,3.44E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.463184461,4.639173076,1.004327957,O..mobiliensis,diatom
