,X,year,BLACKCRAPPIE,BLACKNOSESHINER,BLUEGILL,BLUNTNOSEMINNOW,COMMONSHINER,GOLDENSHINER,IOWADARTER,JOHNNYDARTER,LARGEMOUTHBASS,LOGPERCH,MIMICSHINER,MOTTLEDSCULPIN,MUDMINNOW,MUSKELLUNGE,NORTHERNPIKE,PUMPKINSEED,ROCKBASS,SMALLMOUTHBASS,WALLEYE,WHITESUCKER,YELLOWPERCH,BLACKCHINSHINER,UNIDSUNFISH,YELLOWBULLHEAD,BLACKBULLHEAD,HORNYHEADCHUB,UNIDMINNOW,UNIDREDHORSE,UNIDENTIFIED,BROWNBULLHEAD,SHORTHEADREDHORS,FINESCALEDACE,BGPUMPHYBRID,MUSKYPIKEHYBRID,ROSYFACESHINER,CREEKCHUB,BURBOT,FANTAILDARTER,GRASSPICKEREL,SPOTTAILSHINER,SLIMYSCULPIN,LARVALFISH,FATHEAD,GOLDENREDHORSE,GREATERREDHORSE,EMERALDSHINER,WHITECRAPPIE,BROOKSTICKLEBACK,LARVALSUNFISH,PROPINQUUS,CRAYFISH,SUNFISH,VIRILIS,SILVERREDHORSE
1,1,1981,2.943181818,0.215909091,4.67861244,2.25,1.454545455,5.075757576,0.25,0.545454545,1.126136364,0.636363636,0.454545455,0.215909091,0.5,0.363636364,1.085227273,1.265151515,0.312121212,0.090909091,2.5,3.318181818,17.8461039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
2,2,1982,1.111111111,0.055555556,1.851851852,0.833333333,0.62037037,0.541666667,0.055555556,1.722222222,2.076388889,0.5,0.055555556,0,0,0.5,0.259259259,0.5,0.888888889,0,0.75,2.243055556,6.841269841,0.055555556,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
3,3,1983,2.45,0.333333333,6.842857143,0.416666667,0.508333333,1.816666667,0.066666667,0,2.627777778,0.316666667,0,0,0,0,0.472222222,2.505555556,0.900595238,0.066666667,1,3.166666667,7.297222222,0.2,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
4,4,1984,1.314814815,0,14.33333333,3.055555556,0.055555556,0.958333333,0,0.333333333,1.157407407,0,0,0.111111111,0,0,0.75,1.75,1.287037037,0.458333333,5.375,4.75,3.902777778,0.111111111,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1985,2.877777778,0,9.486111111,0.444444444,0,1.87037037,0.055555556,0.055555556,1.490740741,0.333333333,0,0.055555556,0,0.435185185,0.768518519,0.909722222,0.944444444,0,2.888888889,1.972222222,6.15,0.277777778,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,1986,2.319444444,0.347222222,17.79861111,0.362962963,0.402777778,2.5,0,0.763888889,0.833333333,1.027777778,0,0.152777778,0,0.5,0.625,3.527777778,0.6125,1.902777778,1.083333333,2.083333333,10.36111111,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
7,7,1987,0.406862745,0,10.21490196,2.245098039,0.582107843,0.598039216,0.294117647,0.033333333,2.975490196,0.117647059,0.058823529,0.166666667,0,0.25,0.5,3.591911765,1.129084967,0.242647059,2,3.5,8.398039216,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
8,8,1988,0.216666667,0.133333333,12.03333333,1.666666667,0.066666667,0.2,0,0.333333333,3,0,0,0,0,0.5,6.5,6.322222222,1.116666667,0.5,1.166666667,1,16.53333333,0,0,4.5,1,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,1989,1.05952381,0.238888889,8.715277778,1.5,0.453703704,0.666666667,0.208333333,0.666666667,2.826388889,0,0,0.033333333,0,0.625,1.722222222,4.59,1,0,1.268518519,2,4.422222222,0,0,1.861111111,0.5,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,1990,0.541666667,1.333333333,12.16245211,1.911877395,0.708333333,2.064814815,0.055555556,0.555555556,2.972222222,0.055555556,0.277777778,0.166666667,0,0.152777778,0.87037037,3.256944444,0.715277778,1.75,0.777777778,1.75,5.190772669,0.819444444,0,0.5,0,0,0.388888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
