,X,year,BLACKCRAPPIE,BLACKNOSESHINER,BLUEGILL,BLUNTNOSEMINNOW,COMMONSHINER,GOLDENSHINER,IOWADARTER,JOHNNYDARTER,LARGEMOUTHBASS,LOGPERCH,MIMICSHINER,MOTTLEDSCULPIN,MUDMINNOW,MUSKELLUNGE,NORTHERNPIKE,PUMPKINSEED,ROCKBASS,SMALLMOUTHBASS,WALLEYE,WHITESUCKER,YELLOWPERCH,BLACKCHINSHINER,UNIDSUNFISH,YELLOWBULLHEAD,BLACKBULLHEAD,HORNYHEADCHUB,UNIDMINNOW,UNIDREDHORSE,UNIDENTIFIED,BROWNBULLHEAD,SHORTHEADREDHORS,FINESCALEDACE,BGPUMPHYBRID,MUSKYPIKEHYBRID,ROSYFACESHINER,CREEKCHUB,BURBOT,FANTAILDARTER,GRASSPICKEREL,SPOTTAILSHINER,SLIMYSCULPIN,LARVALFISH,FATHEAD,GOLDENREDHORSE,GREATERREDHORSE,EMERALDSHINER,WHITECRAPPIE,BROOKSTICKLEBACK,LARVALSUNFISH,PROPINQUUS,CRAYFISH,SUNFISH,VIRILIS,SILVERREDHORSE
1,1,1981,117.3134328,55,78.45669291,60.0625,79.125,61.47712418,61,40.16666667,68.37209302,63.44444444,81,41,66,861,476.1,99.23809524,135.2222222,217.5,288.6,358.2083333,89.64622642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0
2,2,1982,132.5833333,39,116.3030303,59.9375,91.63636364,48.3125,47,43.58064516,92.07317073,65,69,0,0,438,269,125.3333333,134.1578947,0,356.4,333.9310345,97.87591241,51,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
3,3,1983,78.18055556,63.5,76.1047619,40.72727273,117.2857143,44.53191489,44,0,92.55,80.5,0,0,0,0,508.5,123.5263158,120.7272727,71,407.1666667,424.6296296,107.9064748,38.33333333,0,48.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
4,4,1984,153.7241379,0,80.11838006,28.61818182,141,55.51612903,0,32.83333333,220.0526316,0,0,31.5,0,0,393.6666667,112.7777778,138.826087,155.75,240.7619048,371.5882353,167.3230769,61.5,0,161.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1985,139.4931507,0,119.2903226,62.5,0,54.64705882,36,48,85.92857143,74.75,0,37,0,249,397.3333333,116.6315789,84.86363636,0,274.7272727,410.5909091,90.39873418,55,0,228.8333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,1986,137.0192308,41.88888889,105.8876404,37.75,100.25,111.7037037,0,51.1,73,79.55555556,0,62.5,0,264,394.5,130.4634146,140.1818182,198.5,288.0909091,396.5454545,104.8324324,0,0,149.8333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.36607143,0,0
7,7,1987,90.22222222,0,86.5,41.10144928,85.03703704,75.125,42.2,70,112.4,69.5,50,78,0,985,481.3333333,129.5645161,113.4285714,124.8,349.3846154,428.0869565,119.4910714,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
8,8,1988,93.2,39.5,83.68879668,37.68,109,120.6666667,0,44.2,105,0,0,0,0,800,421.4615385,100.0181818,102.047619,139.5,294.8571429,396.5,91.02621723,0,0,262.6,293,112.8333333,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,1989,161.2413793,48.77777778,100.6012658,42.92592593,140.1666667,116.8,49,45.83333333,129.2830189,0,0,81,0,546.6666667,375.1538462,121.9285714,139.6666667,0,315.2142857,436,112.4904459,0,0,274.4166667,289,0,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,1990,237.2,40.625,79.81991525,43.19178082,67.68181818,51.29310345,43,39,112.4791667,95,40.75,39.33333333,0,288,371.3333333,130.877551,125,156.8571429,252.7,457.2,114.3413174,52.69230769,0,197.5,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
