X,system,Cause,Effect,rho_Lmax,p_Z,Kendall_tau,Kendall_p,Convergence,Standardized_linkage_strength,direction,biomasss,trait.effect.abundance.total,Warming_rate,temp_mean
1,AR,Chinook.salmon.1,Chinook.salmon,0.279494772,0.223239915,1.000000119,0.000836611,FALSE,0.280706232,trait affects abundance,33.61079837,0.4,0.090107808,13.507913
2,AR,largemouth.bass.1,largemouth.bass,0.440682866,0.025257681,0.928571463,0.001981735,TRUE,0.442592989,trait affects abundance,198.8652414,0.4,0.090107808,13.507913
3,AR,western.mosquitofish.1,western.mosquitofish,0.740429644,0.081454454,1.000000119,0.000836611,FALSE,0.743639008,trait affects abundance,4.816641747,0.4,0.090107808,13.507913
4,AR,black.crappie.1,black.crappie,0.850306824,0.011076479,1.000000119,0.000836611,TRUE,0.853992447,trait affects abundance,158.327843,0.4,0.090107808,13.507913
5,AR,Sacramento.pikeminnow.1,Sacramento.pikeminnow,0.138927861,0.366495253,0.785714328,0.009374738,FALSE,0.139530039,trait affects abundance,131.1524049,0.4,0.090107808,13.507913
6,AR,steelhead.trout.1,steelhead.trout,0.603652254,0.027560454,0.666666687,0.016488671,TRUE,0.606268762,trait affects abundance,1002.784521,0.4,0.090107808,13.507913
7,AR,green.sunfish.1,green.sunfish,0.743475774,0.114363962,1.000000119,0.000836611,FALSE,0.746698342,trait affects abundance,134.754914,0.4,0.090107808,13.507913
8,AR,Pacific.staghorn.sculpin.1,Pacific.staghorn.sculpin,0.578968202,0.108338455,1.000000119,0.000836611,FALSE,0.581477717,trait affects abundance,52.91990996,0.4,0.090107808,13.507913
9,AR,Sacramento.sucker.1,Sacramento.sucker,0.070709603,0.448226406,0.785714328,0.009374738,FALSE,0.071016091,trait affects abundance,15.22267626,0.4,0.090107808,13.507913
10,AR,striped.bass.1,striped.bass,0.70019495,0.009800325,1.000000119,0.000836611,TRUE,0.703229918,trait affects abundance,110.1624723,0.4,0.090107808,13.507913
11,AR,threadfin.shad.1,threadfin.shad,0.166179294,0.444035683,-0.50000006,0.107762292,FALSE,0.166899591,trait affects abundance,69.47557777,0.4,0.090107808,13.507913
12,AR,smallmouth.bass.1,smallmouth.bass,0.813577847,0.090065784,1,0.000263214,FALSE,0.817104269,trait affects abundance,121.0271936,0.4,0.090107808,13.507913
13,AR,splittail.1,splittail,0.622243546,0.008696226,1.000000119,0.000836611,TRUE,0.624940637,trait affects abundance,35.15822832,0.4,0.090107808,13.507913
14,AR,tule.perch.1,tule.perch,0.799404585,0.000765302,1,0.000263214,TRUE,0.802869574,trait affects abundance,97.49975816,0.4,0.090107808,13.507913
