X,system,Cause,Effect,rho_Lmax,p_Z,Kendall_tau,Kendall_p,Convergence,Standardized_linkage_strength,direction,biomasss,trait.effect.abundance.total,Warming_rate,temp_mean
1,WS,A..senarius.1,A..senarius,0.795193848,0.195324404,1,0.002666712,FALSE,0.832014241,trait affects abundance,0.001260701,0.80952381,0.033718254,10.10015309
2,WS,Amoeba.indet.1,Amoeba.indet,0.666762188,0.131158976,0.99999994,0.008534908,FALSE,0.697635724,trait affects abundance,0.000688593,0.80952381,0.033718254,10.10015309
3,WS,B..brockmannii.1,B..brockmannii,0.806530711,0.197498045,1,0.002666712,FALSE,0.843876042,trait affects abundance,5.51E-05,0.80952381,0.033718254,10.10015309
4,WS,Bacillariophyceae.indet.1,Bacillariophyceae.indet,0.497746211,0.310431399,1,0.002666712,FALSE,0.520793687,trait affects abundance,0.000119779,0.80952381,0.033718254,10.10015309
5,WS,C..closterium.1,C..closterium,0.875490542,0.152535693,0.714285731,0.035498142,FALSE,0.916028967,trait affects abundance,4.24E-05,0.80952381,0.033718254,10.10015309
6,WS,C..danicus.1,C..danicus,0.802311176,0.158569188,0.90476191,0.006863832,FALSE,0.839461128,trait affects abundance,0.000141994,0.80952381,0.033718254,10.10015309
7,WS,C..debilis.1,C..debilis,0.946546209,0.059159064,1,0.002666712,FALSE,0.990374772,trait affects abundance,0.000121409,0.80952381,0.033718254,10.10015309
8,WS,C..densus.1,C..densus,0.647035892,0.029783504,0.99999994,0.008534908,TRUE,0.676996028,trait affects abundance,0.000858682,0.80952381,0.033718254,10.10015309
9,WS,Chaetoceros.sp..1,Chaetoceros.sp.,0.627003076,0.239428172,0.99999994,0.008534908,FALSE,0.656035619,trait affects abundance,9.17E-05,0.80952381,0.033718254,10.10015309
10,WS,Ciliates.indet.1,Ciliates.indet,0.828617635,0.042276146,0.90476191,0.006863832,TRUE,0.866985672,trait affects abundance,0.000774601,0.80952381,0.033718254,10.10015309
11,WS,D..brightwellii.1,D..brightwellii,0.817734302,0.147305979,0.428571433,0.229556203,FALSE,0.855598401,trait affects abundance,0.001387813,0.80952381,0.033718254,10.10015309
12,WS,D..surirella.1,D..surirella,0.871312776,0.061983803,1,0.002666712,FALSE,0.911657755,trait affects abundance,0.000198886,0.80952381,0.033718254,10.10015309
13,WS,Dinophy.indet.1,Dinophy.indet,0.784829563,0.302221564,0.99999994,0.008534908,FALSE,0.821170052,trait affects abundance,0.000600534,0.80952381,0.033718254,10.10015309
14,WS,Diplopsalis.gr.1,Diplopsalis.gr,0.868732294,0.026335864,1,0.002666712,TRUE,0.908957788,trait affects abundance,0.002645938,0.80952381,0.033718254,10.10015309
15,WS,E..dubium.1,E..dubium,0.750153867,0.133544469,1,0.002666712,FALSE,0.784888744,trait affects abundance,0.00019149,0.80952381,0.033718254,10.10015309
16,WS,E..tripartita.1,E..tripartita,0.549587807,0.207278712,1,0.002666712,FALSE,0.575035739,trait affects abundance,0.000823513,0.80952381,0.033718254,10.10015309
17,WS,G..delicatula.1,G..delicatula,0.742580768,0.070097126,0.99999994,0.008534908,FALSE,0.776964983,trait affects abundance,0.000713202,0.80952381,0.033718254,10.10015309
18,WS,G..striata.1,G..striata,0.938721024,0.051090284,1,0.002666712,FALSE,0.982187252,trait affects abundance,0.00224566,0.80952381,0.033718254,10.10015309
19,WS,L..danicus.1,L..danicus,0.830952398,0.057743691,0.90476191,0.006863832,FALSE,0.869428543,trait affects abundance,0.000132376,0.80952381,0.033718254,10.10015309
20,WS,L..minimus.1,L..minimus,0.773113858,0.159288201,1,0.002666712,FALSE,0.808911867,trait affects abundance,3.92E-05,0.80952381,0.033718254,10.10015309
21,WS,L..strobila.1,L..strobila,0.8770998,0.140431869,1,0.002666712,FALSE,0.91771274,trait affects abundance,0.010419839,0.80952381,0.033718254,10.10015309
22,WS,L..undulatum.1,L..undulatum,0.869676331,0.075745833,1,0.002666712,FALSE,0.909945536,trait affects abundance,0.00226593,0.80952381,0.033718254,10.10015309
23,WS,M..rubra.1,M..rubra,0.871054342,0.019814129,0.99999994,0.008534908,TRUE,0.911387355,trait affects abundance,0.001540658,0.80952381,0.033718254,10.10015309
