,X,system,Cause,Effect,rho_Lmax,p_Z,Kendall_tau,Kendall_p,Convergence,Standardized_linkage_strength,direction,biomasss,abundances,trait.effect.abundance.total,abundance.effect.trait.total,trait.effect.abundance,abundance.effect.trait
1,1,WA,size.Coleoptera.,abunance.Coleoptera.,0.603707873,0.045979192,0.99999994,0.008534908,TRUE,0.892498619,trait affects abundance,0.011335028,0.697222222,0.902439024,1,0.902439024,1
2,2,WA,size.Tachinus.sp2,abunance.Tachinus.sp2,0.347748535,0.154328331,1,0.002666712,FALSE,0.514098128,trait affects abundance,6.91944444444444e-05,0.071428571,0.902439024,1,0.902439024,1
3,3,WA,size.Domene.curtipennis,abunance.Domene.curtipennis,0.574625047,0.024786753,0.99999994,0.008534908,TRUE,0.849503683,trait affects abundance,0.000705264,0.571428571,0.902439024,1,0.902439024,1
4,4,WA,size.Athetini.,abunance.Athetini.,0.57817116,0.008158941,1,0.002666712,TRUE,0.854746121,trait affects abundance,0.003270139,1.578571429,0.902439024,1,0.902439024,1
5,5,WA,size.Carabus.arboreus,abunance.Carabus.arboreus,0.472615045,0.050878081,0.99999994,0.008534908,FALSE,0.698695999,trait affects abundance,0.245188517,1.890740741,0.902439024,1,0.902439024,1
6,6,WA,size.Pselaphinae.,abunance.Pselaphinae.,0.290892011,0.22624373,0.99999994,0.008534908,FALSE,0.430043618,trait affects abundance,7.575e-05,0.494927536,0.902439024,1,0.902439024,1
7,7,WA,size.Cholevinae.,abunance.Cholevinae.,0.336550692,0.077439271,1,0.002666712,FALSE,0.497543666,trait affects abundance,0.000543296,0.665123457,0.902439024,1,0.902439024,1
8,8,WA,size.Domene.crassicornis,abunance.Domene.crassicornis,0.358384862,0.313732387,-0.238095239,0.548005581,FALSE,0.529822467,trait affects abundance,0.000267083,0.133333333,0.902439024,1,0.902439024,1
9,9,WA,size.Lucanus.maculifemoratus,abunance.Lucanus.maculifemoratus,0.432289699,0.104414902,1,0.002666712,FALSE,0.639080551,trait affects abundance,0.040710371,0.071428571,0.902439024,1,0.902439024,1
10,10,WA,size.Drusilla.aino,abunance.Drusilla.aino,0.101683349,0.358796795,0.73333329,0.060289145,FALSE,0.150324773,trait affects abundance,7.55277777777778e-05,0.071428571,0.902439024,1,0.902439024,1
